City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Khasan,RU,65.66,moderate rain,42.43,130.64,Krako Motorkár
3,Hay River,CA,66.2,broken clouds,60.82,-115.8,Ptarmigan Inn Hotels
4,Torbay,CA,71.01,broken clouds,47.67,-52.73,Gallows Cove
5,Romny,UA,71.47,broken clouds,50.75,33.47,Floriana
10,Sawtell,AU,60.8,clear sky,-30.38,153.1,Boambee Waters Caravan Park
13,Jiuquan,CN,63.14,clear sky,39.74,98.52,Jiuquan Hotel
28,Thompson,CA,71.6,broken clouds,55.74,-97.86,Burntwood Hotel
36,Jamestown,US,70.0,few clouds,42.1,-79.24,Hampton Inn & Suites Jamestown
37,Tocopilla,CL,62.65,few clouds,-22.09,-70.2,Hotel Galvarino
41,Katherine,AU,69.8,scattered clouds,-14.47,132.27,Pine Tree Motel
56,Rikitea,PF,70.9,overcast clouds,-23.12,-134.97,Pension Maro'i
65,Avarua,CK,71.6,overcast clouds,-21.21,-159.78,Paradise Inn
67,Hearst,CA,71.47,scattered clouds,49.68,-83.67,Companion
70,Pisco,PE,68.0,clear sky,-13.7,-76.22,Hostal San Isidro Oficial
73,Nchelenge,ZM,71.44,clear sky,-9.35,28.73,Mweru Water Transport
75,Bibiani,GH,71.01,clear sky,6.46,-2.32,Rodick Hotel
77,Margate,GB,68.0,overcast clouds,51.38,1.39,Premier Inn Margate hotel
86,Severnyy,RU,69.8,scattered clouds,50.68,36.55,Full House North Mini-Hotel
88,Cheremisinovo,RU,60.04,overcast clouds,51.89,37.26,Uyut
89,Sitka,US,62.6,overcast clouds,57.05,-135.33,Westmark Sitka
90,Nouadhibou,MR,71.6,sand,20.93,-17.03,El Medina
109,Port Macquarie,AU,60.01,clear sky,-31.43,152.92,Rydges Port Macquarie
111,Ribeira Grande,PT,71.6,scattered clouds,38.52,-28.7,Quinta da Meia Eira
114,Cervo,ES,63.0,moderate rain,43.67,-7.41,Hotel Spa Galatea
116,Maragogi,BR,74.64,scattered clouds,-9.01,-35.22,Salinas do Maragogi All Inclusive Resort
118,Mahebourg,MU,69.8,shower rain,-20.41,57.7,Le Peninsula Bay Beach Resort & Spa
122,Namibe,AO,67.68,overcast clouds,-15.2,12.15,Hotel Chik Chik Namibe
124,Lata,PT,71.01,clear sky,40.16,-8.33,Casa Maquia
126,Lagoa,PT,68.23,light rain,39.05,-27.98,Casa Das Faias
128,Zaysan,KZ,66.22,clear sky,47.47,84.87,Gostinitsa Aray
129,Zambezi,ZM,66.06,clear sky,-13.54,23.1,Royal Kutachika Lodge
130,Vila,PT,66.0,light rain,42.03,-8.16,Hotel Castrum Villae
134,Salamiyah,SY,68.74,clear sky,35.01,37.05,Gondolas Forum grandchildren and grandparents
138,Los Llanos De Aridane,ES,73.4,clear sky,28.66,-17.92,Valle Aridane
142,Saint-Philippe,RE,69.01,overcast clouds,-21.36,55.77,"Chambres d'hôte ""La Trinité"""
146,Kodiak,US,62.6,overcast clouds,57.79,-152.41,Best Western Kodiak Inn and Convention Center
148,Binzhou,CN,71.11,overcast clouds,37.37,118.02,Hampton By Hilton Binzhou
151,Saint-Raymond,CA,72.0,few clouds,45.47,-73.61,Comfort Suites Downtown
154,Komsomolskiy,UZ,69.8,broken clouds,40.43,71.72,Ikathouse
159,Marawi,PH,75.0,overcast clouds,8.0,124.29,Salihmaruhom
162,Bambous Virieux,MU,70.0,shower rain,-20.34,57.76,Casa Tia Villa
163,Waingapu,ID,71.37,clear sky,-9.66,120.26,Pondok Wisata Elim
164,Shahr-E Kord,IR,60.8,clear sky,32.33,50.86,Sharekord Tourism Hotel
171,Worcester,US,75.0,thunderstorm,42.33,-71.83,Classic Suites & Inns
180,Golpayegan,IR,64.8,clear sky,33.45,50.29,TOURISM Hotel
182,Roebourne,AU,67.41,clear sky,-20.78,117.13,Harding River Caravan Park
191,College,US,66.99,broken clouds,64.86,-147.8,Pike's Waterfront Lodge
194,Lummen,BE,69.01,light rain,50.99,5.19,'T Buskruid Hotel
202,Grafton,US,75.0,thunderstorm,42.21,-71.69,The Grafton Inn
207,Fortuna,US,73.0,broken clouds,40.6,-124.16,Super 8 by Wyndham Fortuna
212,Kiri Buru,IN,74.95,light rain,22.08,85.35,Lucky India
216,Yeppoon,AU,60.8,overcast clouds,-23.13,150.73,Villa Mar Colina
217,Mount Isa,AU,60.8,clear sky,-20.73,139.5,ibis Styles Mt Isa Verona
218,Carnarvon,AU,60.8,overcast clouds,-24.87,113.63,Hospitality Carnarvon
221,Maningrida,AU,66.63,scattered clouds,-12.07,134.27,Dhukurrdji Lodge
223,Ostersund,SE,66.2,light rain,63.18,14.64,Best Western Hotel Gamla Teatern
224,Mahajanga,MG,74.08,clear sky,-15.72,46.32,Restaurant Greedy Coco Lodge Majunga
229,Tabuk,PH,73.62,light rain,17.42,121.44,Grand Zion Garden Resort Hotel
233,Havre-Saint-Pierre,CA,62.6,broken clouds,50.23,-63.6,Auberge Niapiskau
234,Olovi,CZ,61.0,broken clouds,50.25,12.56,Guest House Hartenberg
240,Little Current,CA,69.01,clear sky,45.98,-81.92,Hawberry Motel
242,Beira,MZ,71.6,broken clouds,-19.84,34.84,Beira Terrace Hotel
243,Voh,NC,68.72,clear sky,-20.97,164.7,Le gîte du Koniambo
244,Pouembout,NC,68.31,clear sky,-21.13,164.9,Camping de Tipenga
249,Kaeo,NZ,61.0,moderate rain,-35.1,173.78,Bushido Lodge
252,Skibbereen,IE,62.6,moderate rain,51.55,-9.27,The West Cork Hotel
256,Ventspils,LV,60.8,scattered clouds,57.39,21.56,Jūras brīze
257,Khani,GE,68.0,broken clouds,41.96,42.96,კურორტი ზეკარი/Resort Zekari
262,Kouroussa,GN,73.6,light rain,10.65,-9.88,Hotel Tando Plus
267,Biak,ID,74.03,few clouds,-0.91,122.88,Kost Ariz
268,Caravelas,BR,73.08,clear sky,-17.71,-39.25,Pousada dos Navegantes
269,Xinzhi,CN,68.04,overcast clouds,36.5,111.7,Mingyue Hotel
273,Akdepe,TM,69.8,clear sky,42.06,59.38,Мой дом
277,Santa Cruz,BO,66.2,overcast clouds,-17.8,-63.17,Hotel Cortez
280,Fort Nelson,CA,69.8,few clouds,58.81,-122.7,The Fort Nelson Hotel
283,Chanika,TZ,66.54,overcast clouds,-5.42,38.02,New Rombo Green Hotel
285,Muros,ES,64.0,light rain,42.78,-9.06,Apartment Av. Castelao
286,Westport,US,73.0,clear sky,41.14,-73.36,The Westport Inn
292,Emerald,AU,60.8,clear sky,-23.53,148.17,The Irish Village
294,Goderich,CA,70.0,clear sky,43.75,-81.72,Harmony Inn
302,Howard Springs,AU,73.4,few clouds,-12.5,131.05,buffalo beach hostel
303,Longkou,CN,74.05,overcast clouds,37.65,120.33,Pai Hotel Yantai Longkou City Heping Road
304,Kilembe,UG,65.14,light rain,0.2,30.0,Mbunga Community Campsite
315,Norman Wells,CA,62.6,scattered clouds,65.28,-126.83,Heritage Hotel
317,Tselina,RU,72.19,clear sky,46.53,41.03,Kristina
318,Hualmay,PE,65.19,few clouds,-11.1,-77.61,Hotel Restaurant Turístico Casablanca
319,Yamada,JP,74.1,clear sky,39.47,141.95,Iroha-ya Inn
320,Souillac,MU,69.8,shower rain,-20.52,57.52,Bils' Villa
323,Eskilstuna,SE,64.0,clear sky,59.37,16.51,Comfort Hotel Eskilstuna
327,Dongsheng,CN,61.41,clear sky,39.82,109.98,Crowne Plaza Ordos
330,Varhaug,NO,62.01,overcast clouds,58.61,5.65,Dancenter Gurihuset
332,Praia Da Vitoria,PT,69.8,scattered clouds,38.73,-27.07,Hotel Branco I
339,Pacific Grove,US,71.6,smoke,36.62,-121.92,Lovers Point Inn
341,Daru,PG,73.65,clear sky,-9.08,143.21,New century hotel
346,Rakovnik,CZ,69.01,broken clouds,50.1,13.73,Hotel Svoboda
353,Lalin,ES,61.0,broken clouds,42.72,-8.12,A Palleira De ROQUE
362,Slave Lake,CA,68.0,scattered clouds,55.28,-114.77,Super 8 by Wyndham Slave Lake AB
365,Hasaki,JP,75.0,few clouds,35.73,140.83,Inubosaki Kanko Hotel
379,Ucluelet,CA,64.99,overcast clouds,48.93,-125.55,Black Rock Oceanfront Resort
383,Flers,FR,69.8,overcast clouds,48.74,-0.57,Beverl'Inn Hôtel Restaurant
387,Hervey Bay,AU,60.8,clear sky,-25.3,152.85,Shelly Bay Resort
388,Roma,US,73.4,clear sky,43.21,-75.46,Wingate By Wyndham Rome
390,Buique,BR,70.16,overcast clouds,-8.62,-37.16,Pousada Santos
391,Penzance,GB,62.6,overcast clouds,50.12,-5.54,Artist Residence Penzance
397,Trenggalek,ID,71.71,broken clouds,-8.05,111.72,OYO 2966 Hotel Atriaz
400,Odweyne,SO,74.62,clear sky,9.41,45.06,Eng Hiirey House
406,Burgos,ES,68.0,clear sky,42.34,-3.71,Hotel Corona de Castilla (Sercotel)
408,Lasa,IT,60.8,scattered clouds,46.62,10.7,Pension Feldgärtenhof
413,Ponta Delgada,PT,68.0,few clouds,37.73,-25.67,Vila Nova Hotel
419,Maarianhamina,AX,64.4,clear sky,60.1,19.93,Park Alandia Hotel
423,Saint-Pierre,RE,69.01,overcast clouds,-21.34,55.48,Lindsey Hôtel
424,Fairbanks,US,66.0,broken clouds,64.84,-147.72,Westmark Fairbanks Hotel & Conference Center
426,Kendari,ID,69.22,clear sky,-3.94,122.5,Hotel Wixel
434,Ampanihy,MG,65.43,scattered clouds,-24.7,44.75,Angora Hotel
444,Zhuanghe,CN,70.0,overcast clouds,39.7,122.99,Hanting Express Dalian Zhuanghe Qiansheng
445,Farafangana,MG,68.67,few clouds,-22.82,47.83,Austral Hotel
456,Bonavista,CA,66.0,scattered clouds,48.65,-53.11,Abbott's Bed & Breakfast
458,Cairns,AU,60.01,clear sky,-16.92,145.77,Mantra Trilogy Cairns
461,Batangafo,CF,70.75,overcast clouds,7.3,18.28,OCHA Office
464,Presidencia Roque Saenz Pena,AR,64.62,clear sky,-26.79,-60.44,Hotel Aconcagua
465,Pokhara,NP,72.73,moderate rain,28.23,83.98,Hotel View Point
467,Vojnik,SI,63.0,overcast clouds,46.29,15.3,Farm Soržev mlin
474,Suixi,CN,72.88,overcast clouds,33.89,116.77,Campanile Hotel
475,Camacha,PT,73.4,scattered clouds,33.08,-16.33,Hotel Porto Santo & Spa
477,Campbell River,CA,66.0,light rain,50.02,-125.24,Ramada by Wyndham Campbell River
479,Alyangula,AU,62.6,scattered clouds,-13.85,136.42,Groote Eylandt Lodge
486,Along,IN,70.45,clear sky,28.17,94.77,Hotel West
487,Anchorage,US,61.0,broken clouds,61.22,-149.9,Hotel Captain Cook
490,Pimentel,PE,68.0,few clouds,-6.84,-79.93,Casona Del Muelle
497,Grand Gaube,MU,70.0,broken clouds,-20.01,57.66,Veranda Paul et Virginie Hotel & Spa
498,Mumford,GH,74.5,clear sky,5.26,-0.76,Spanish Villa
499,Colares,PT,71.01,broken clouds,38.8,-9.45,Arribas Sintra Hotel
501,Mfou,CM,73.4,broken clouds,3.72,11.64,Maison Du Juge Noah
502,Vila Franca Do Campo,PT,68.0,few clouds,37.72,-25.43,Pestana Bahia Praia
504,Ilam,NP,66.07,scattered clouds,26.92,87.92,Chiyabari Cottage
506,Vardo,NO,60.8,few clouds,70.37,31.11,Vardø Hotel AS
510,Labuan,MY,75.0,light rain,5.28,115.24,Tiara Labuan Hotel
511,Liverpool,GB,68.0,few clouds,53.41,-2.98,Premier Inn Liverpool City Centre (Moorfields) hotel
512,Vigrestad,NO,63.0,overcast clouds,58.57,5.7,Brusand Camping
516,Matai,TZ,60.8,overcast clouds,-8.3,31.52,Rashid agro vet
520,Bowen,AU,64.99,clear sky,-20.02,148.23,Castle Motor Lodge Motel
521,Norden,DE,69.8,overcast clouds,53.6,7.2,Hotel Aquarius
526,Tura,IN,74.55,light rain,25.52,90.22,Hotel RIKMAN Continental
529,Kashi,CN,69.8,scattered clouds,39.45,75.98,帕米尔青年旅舍
530,Nesebar,BG,72.0,thunderstorm,42.78,27.73,Bay View Villas - Luxury Villas & Apartments
535,Karratha,AU,67.5,clear sky,-20.74,116.85,ibis Styles Karratha
537,Broome,US,72.0,broken clouds,42.25,-75.83,Chenango Valley State Park
540,Bridlington,GB,66.2,mist,54.08,-0.19,Expanse Bridlington Seafront Hotel
541,Inhambane,MZ,66.87,overcast clouds,-23.86,35.38,Oceano
